run,learning_rate,gamma,buffer_size,batch_size,eps_end,target_update_interval,net_arch,tau,mean_reward,std_reward,convergence_step,train_time_s
1,0.001,0.95,50000,64,0.05,500,"[64, 64]",1.0,84.639,5.954,2000,33.3
2,0.0005,0.99,50000,64,0.05,500,"[64, 64]",1.0,87.325,9.696,4000,31.0
3,0.001,0.99,100000,128,0.05,1000,"[128, 128]",1.0,92.922,8.321,4000,32.0
4,0.0001,0.95,50000,32,0.1,500,"[64, 64]",1.0,76.03,2.604,0,29.1
5,0.001,0.99,100000,64,0.02,1000,"[256, 256]",1.0,92.558,7.622,4000,49.0
6,0.0005,0.95,80000,128,0.05,800,"[128, 64]",0.05,73.714,5.439,0,32.2
7,0.001,0.99,50000,64,0.05,500,"[128, 128]",0.1,84.407,4.354,2000,30.8
8,0.0002,0.99,100000,64,0.02,1000,"[64, 64]",1.0,74.811,1.88,0,31.1
9,0.001,0.9,50000,32,0.1,500,"[64, 32]",1.0,76.443,2.989,2000,25.1
10,0.005,0.95,30000,128,0.05,300,"[256, 128]",1.0,83.326,3.074,2000,38.4
