run,learning_rate,gamma,n_steps,batch_size,n_epochs,ent_coef,clip_range,gae_lambda,net_arch,mean_reward,std_reward,convergence_step,train_time_s
1,0.0003,0.99,2048,64,10,0.01,0.2,0.95,"[64, 64]",212.21,11.118,8000,88.4
2,0.0001,0.99,2048,64,10,0.01,0.2,0.95,"[128, 128]",173.673,3.034,0,97.0
3,0.0003,0.95,1024,32,5,0.01,0.1,0.9,"[64, 64]",191.268,6.803,2000,78.1
4,0.0003,0.99,2048,128,10,0.05,0.2,0.95,"[128, 128]",206.325,9.8,6000,73.2
5,0.001,0.99,2048,64,10,0.01,0.3,0.95,"[64, 64]",205.742,8.244,12000,81.7
6,0.0003,0.99,4096,64,5,0.0,0.2,0.95,"[256, 256]",162.725,2.975,0,79.2
7,0.0005,0.99,2048,64,10,0.02,0.2,0.98,"[128, 64]",175.112,4.264,0,83.4
8,0.0003,0.9,2048,64,10,0.01,0.2,0.95,"[64, 64]",195.762,5.318,4000,81.2
9,0.0003,0.99,1024,64,15,0.01,0.15,0.95,"[64, 64]",207.855,9.852,4000,102.7
10,0.0002,0.99,2048,128,10,0.03,0.2,0.95,"[256, 128]",175.36,4.227,0,72.8
