run,learning_rate,gamma,hidden_layers,n_episodes,entropy_coef,baseline,mean_reward,std_reward,convergence_step,train_time_s
1,0.001,0.99,"[64, 64]",1000,0.01,True,162.748,1.972,0,16.6
2,0.0005,0.99,"[128, 128]",1000,0.01,True,163.778,2.377,0,17.0
3,0.001,0.95,"[64, 64]",1200,0.05,True,169.988,3.588,0,18.8
4,0.002,0.99,"[64, 32]",800,0.01,False,159.465,0.911,0,11.7
5,0.0001,0.99,"[128, 64]",2000,0.001,True,170.13,2.875,0,31.6
6,0.001,0.9,"[64, 64]",1000,0.02,True,175.72,2.798,0,14.8
7,0.0005,0.95,"[256, 128]",1000,0.01,True,166.074,2.772,0,16.9
8,0.001,0.99,"[64, 64]",1000,0.0,True,170.147,2.803,0,15.2
9,0.0003,0.99,"[128, 128]",1500,0.05,False,149.24,3.421,0,24.0
10,0.001,0.99,"[64, 64]",1000,0.01,True,170.147,2.803,0,15.2
